,geom_id,place,name,state,population,proportion,centroid,longitude,latitude,
1,2b7cd8d3aca045c69d68e1bf6953a71f5c43cecc,village; town,Soura Garin Daouré; Soura Oubandawaki; Tibiri; K'aouk'ay,Maradi,38987.97598,0.019452519,c(7.0628165937689, 13.5638370250093),7.062816594,13.56383703
2,1d864959f3ffdf4a49c6946fefe91fb373808d97,city,Illela,Tahoua,35983.61611,0.017953534,c(5.24897580040356, 14.4604216475777),5.2489758,14.46042165
3,a59f441709d5a63b60fb41723976f952daa1c309,NA,NA,Zinder,1791.498297,0.000893844,c(8.52243919319057, 13.0966739507884),8.522439193,13.09667395
4,956219a17220c7cdaa593edbeb4f7d769ed198af,NA,NA,Tahoua,2039.336109,0.001017499,c(5.22355887242645, 13.9089600993144),5.223558872,13.9089601
5,b42998ff3dc35b67925a5a9eac86130cd15f0640,village,Salewa,Tahoua,5117.020868,0.002553068,c(5.34057187821819, 14.0713020409018),5.340571878,14.07130204
6,6c97ecbe95c8265b2b13b404e705871e33696f90,village,Handarmawa,Zinder,1024.784502,0.000511302,c(9.29638212870008, 13.3999559321072),9.296382129,13.39995593
7,afe80229a9523e2e06621d12a4d6ea569ce48ac7,village,Ambaroura,Tahoua,3269.901933,0.001631473,c(5.4914157686965, 14.4577102186578),5.491415769,14.45771022
8,6a62d607f12a453277822fb98aa521dea7098f76,village,Sanbo Ilyasou; Sanbo Tinga,Tahoua,6270.97114,0.003128816,c(5.91880660642299, 14.4148921994929),5.918806606,14.4148922
9,1d864959f3ffdf4a49c6946fefe91fb373808d97,city,Illela,Tahoua,35983.61611,0.017953534,c(5.24897580040356, 14.4604216475777),5.2489758,14.46042165
10,265726a136ca8cf92bbba0ca398df7860b51539b,NA,NA,Maradi,892.0987911,0.000445101,c(7.35452858203166, 13.5062991276194),7.354528582,13.50629913
11,afe80229a9523e2e06621d12a4d6ea569ce48ac7,village,Ambaroura,Tahoua,3269.901933,0.001631473,c(5.4914157686965, 14.4577102186578),5.491415769,14.45771022
12,7a7d7c81032e4be42373b8900e35130397d4ebad,village,Dan Ladi,Zinder,2086.177704,0.00104087,c(9.02077758752069, 13.8887643168553),9.020777588,13.88876432
13,010b44aad0637f6d924fa7a4130d26b4fee5ed54,town,Gazaoua,Maradi,16446.18201,0.008205598,c(7.91223542449161, 13.525724322881),7.912235424,13.52572432
14,ef34c6d49d61baebfe301b74d2751339c4e5faa2,village,Dan Daoura,Zinder,1583.001031,0.000789817,c(9.11613198410128, 13.0031042946419),9.116131984,13.00310429
15,e6410f0d0d6bb9fe82430a2e4a9bbc8397d4acdf,village,Nwala Maydoubou,Maradi,2151.359756,0.001073392,c(7.69033645929047, 13.9982139114638),7.690336459,13.99821391
16,1fe92f47e56544f3a38e76d16497c0202d23bb44,village,Guidan Magâjî Arjito; Malamawa Saboua,Maradi,2806.970638,0.0014005,c(7.35857254433327, 13.5303157716622),7.358572544,13.53031577
17,735bcd49fc81873448f08189455d98fba807e68b,village,Kadébadi,Tahoua,3766.990722,0.001879489,c(5.34903745658783, 14.0007266698905),5.349037457,14.00072667
18,e28b5fe9f907956c2c5fcbf3cadbe2090aa96cfa,village,Abalo,Tahoua,1031.700978,0.000514753,c(6.36689972358332, 14.394460694293),6.366899724,14.39446069
19,9f45efb90db629d65d9af1400171e50271d6110f,village,Raha,Tahoua,1878.980494,0.000937492,c(5.27302678288985, 14.0243275009995),5.273026783,14.0243275
20,fc08ee9f1b7682d48e32fe4f2cf2512b43befe70,village,Housa,Tahoua,1363.631121,0.000680365,c(5.12398498264891, 14.3438669072892),5.123984983,14.34386691
21,d11d8ae18db634636cd2b8670604ed15469f8c65,village; town,Guidan Rana; Tsernaoua,Tahoua,13268.77009,0.006620272,c(5.34435480939405, 13.8910781349692),5.344354809,13.89107813
22,599a676943ca8062a673b7f52f2d7aa3cc0268a0,NA,NA,Tahoua,5540.067056,0.002764141,c(5.33832880182866, 13.979364700143),5.338328802,13.9793647
23,2f8ecb67dea353b43bf712d046a7597bdbc72950,village,Gamé,Tahoua,2508.608536,0.001251636,c(6.04687249805876, 14.477847082077),6.046872498,14.47784708
24,66152907dc69d77f38766770c08a6ecedc8f5e69,city,Tchin-Tabaraden,Tahoua,31773.48489,0.015852947,c(5.80317704639166, 15.9025389938695),5.803177046,15.90253899
25,dcd471550074b0667d4dc74ccfa11758e6fd85a2,village,I-n-Wâlâ,Maradi,1144.287601,0.000570927,c(7.79414449751745, 13.9943882033851),7.794144498,13.9943882
26,8d78c42cdbbe64f8b25068120d9a0ce4ea1614be,hamlet; village,Zango Binguirawa; Binguirawa; Binguimawakiaro,Tahoua,5181.990463,0.002585483,c(6.19630857201443, 14.4154571490551),6.196308572,14.41545715
27,1f58c4d92a8a19c2d15c53b34df4e4b1e356bd36,NA,NA,Zinder,858.4642754,0.000428319,c(9.51996312878907, 14.1365552084619),9.519963129,14.13655521
28,b5f5562e462e2a618663273aaed432d734289d80,city; village,Madarounfa; Katchinawa secteur 2; Secteur Limantchi 4; Kahin sarki secteur 1,Maradi,9897.409849,0.004938178,c(7.16040822311013, 13.3048059131967),7.160408223,13.30480591
29,429483ddb64cbc1e5e911c24ecb97d74cb2c3dbf,village,Angoal Abou; Angoal Zakarya,Zinder,2421.969963,0.001208409,c(9.25108470792273, 13.3716699480132),9.251084708,13.37166995
30,2b7cd8d3aca045c69d68e1bf6953a71f5c43cecc,village; town,Soura Garin Daouré; Soura Oubandawaki; Tibiri; K'aouk'ay,Maradi,38987.97598,0.019452519,c(7.0628165937689, 13.5638370250093),7.062816594,13.56383703
31,2b7cd8d3aca045c69d68e1bf6953a71f5c43cecc,village; town,Soura Garin Daouré; Soura Oubandawaki; Tibiri; K'aouk'ay,Maradi,38987.97598,0.019452519,c(7.0628165937689, 13.5638370250093),7.062816594,13.56383703
32,8d01059c0cd30e91052abc7a500b832a3c6218ee,village,Rouanzafi,Tahoua,844.1094465,0.000421157,c(6.09276239459179, 13.9967785485611),6.092762395,13.99677855
33,ea41e0f5c3555c5c0a9c5ac09a3ad5e48f482f3b,village,Binguiré,Tahoua,6268.799526,0.003127732,c(5.28833618730133, 13.9638391309702),5.288336187,13.96383913
34,71a707e8a61ae10b9fe73d5a7d606a8ad87fcadd,village,Toubout,Tahoua,6944.634784,0.003464931,c(5.59918383701412, 14.3337978756559),5.599183837,14.33379788
35,eba2659990b7c072b34381f63991287591a66325,city,Birni N'Konni,Tahoua,80789.30243,0.04030872,c(5.2558171951604, 13.7926399919694),5.255817195,13.79263999
36,a3fcbf9266cdbe4836e5602c883ec589d5d909f9,village,Sagoumou,Tahoua,1654.714822,0.000825597,c(5.3413084602271, 14.450676006099),5.34130846,14.45067601
37,40587e8487c175b035b4d1c63e8286393e316a8f,village,Guidan Kiata,Maradi,1478.200374,0.000737528,c(7.72371460467228, 13.3664048601542),7.723714605,13.36640486
38,6e5d9275e9eff058b93c0cc23be7d642526a3eb1,village,Boraye Zango,Tahoua,1345.543948,0.000671341,c(5.8201283170742, 13.7968474550942),5.820128317,13.79684746
39,d56ee3ebbe5395c926f56010f2541383a153ea89,NA,NA,Zinder,1235.006258,0.00061619,c(9.07137403722373, 13.890085228828),9.071374037,13.89008523
40,caceec38e23faa4393499550c39547209f585523,NA,NA,Tahoua,1127.339375,0.000562471,c(5.97010615399767, 14.289882294305),5.970106154,14.28988229
41,d68b6db67c4f3dad3b442f787cf332f21c816641,village,Madéta; Kaoura; Baché; Madéta II,Tahoua,7249.820606,0.003617199,c(6.0169851293076, 14.2669679082859),6.016985129,14.26696791
42,d5a81bbfc945d502d93834cac598e7ebebf2d5ac,village,DABAGAWA; Dobagawa,Tahoua,2779.233265,0.001386661,c(5.52791121997337, 13.9016073753159),5.52791122,13.90160738
43,b339b6a9fab01e86c475a64e0ab977f975f605b1,village,Sarkéki,Tahoua,1843.991817,0.000920035,c(5.27873471441249, 14.5822935689016),5.278734714,14.58229357
44,afa583e556359becf30e6af0ca3662138cfd8d95,village,Touroumboudi,Maradi,1840.683901,0.000918384,c(7.301924635367, 13.3652312777936),7.301924635,13.36523128
45,27e1d50ffce90e2ebdfc76c70f04dea13a760690,village,Guidan Gado Agada,Maradi,1430.168555,0.000713563,c(7.01949158300319, 14.1515993482914),7.019491583,14.15159935
